internal,kcup,miniserve
16022.3,  28384.76,  10702.37
15255.4,  27983.23,  10884.88
14968.6,  28290.62,  10335.27
17988.7,  28364.58,  10796.44
14278.7,  27629.29,  10945.98
17340.3,  29939.79,  10559.50
14428.6,  28553.05,  10645.03
14199.4,  29512.05,  11264.94
16887.0,  28259.10,  11144.79
14849.8,  28776.00,  10697.01
11801.9,  26657.15,  11063.97
14856.9,  28558.53,  11012.82
16410.3,  27608.94,  10534.74
13389.6,  29224.28,  11350.25
14375.9,  25082.62,  10936.43
15444.7,  28110.56,  10820.00
16093.7,  27281.45,  10803.40
14652.6,  27324.34,  11030.68
16908.7,  28360.42,  10753.55
14577.6,  27874.94,  11331.01
15376.7,  27315.58,  11106.96
17808.5,  28398.12,  10546.94
15956.0,  27852.58,  11224.76
16358.4,  27799.85,  11109.31
12534.1,  28238.51,  10642.44
14200.8,  27074.17,  11306.61
13500.7,  27574.22,  10895.83
14822.4,  27125.71,  10669.26
14649.9,  27288.88,  11346.20
14668.1,  27035.97,  10721.33
16784.8,  27693.64,  10775.54
14690.7,  28337.49,  11113.51
14276.3,  26242.80,  10886.63
16231.9,  27678.19,  10768.73
15500.7,  28786.66,  10969.97
14635.2,  27928.74,  10984.61
15177.9,  26157.96,  10661.76
14685.9,  27239.92,  11234.71
14416.5,  27733.78,  10616.23
14851.0,  27259.63,  10593.29
14762.4,  26082.88,  10989.18
15287.6,  27072.98,  10939.08
17311.9,  27449.19,  10997.80
12891.2,  26883.83,  10839.12
14602.0,  27457.85,  10820.87
16407.5,  28737.82,  10554.75
16649.7,  28616.58,  10927.51
14351.8,  27288.21,  11226.54
17508.9,  27992.11,  10821.96
15338.0,  27930.31,  10887.44
14577.9,  27122.87,  10981.67
14425.0,  27324.86,  10626.75
14326.9,  26304.61,  10962.09
14733.9,  26705.45,  11126.89
16823.0,  26681.02,  10948.86
15745.8,  26507.62,  11114.81
14149.8,  27033.87,  11036.72
16106.9,  28211.15,  10916.12
15121.1,  28216.71,  11138.61
15261.4,  26946.05,  10863.53
14161.2,  28631.93,  10865.14
14418.4,  27964.44,  11153.02
14111.8,  26973.60,  10874.41
15868.9,  27131.18,  10662.65
14377.6,  27387.28,  10835.75
15873.0,  26492.90,  10728.09
16627.7,  27527.81,  10976.29
15520.9,  29372.17,  10958.10
16879.4,  28900.18,  10841.20
14202.9,  29208.88,  11227.23
15147.1,  28091.87,  10911.70
15019.4,  31072.78,  10942.53
13755.5,  29281.49,  10995.04
14469.6,  27874.42,  10828.43
15539.9,  29300.53,  10793.89
14472.4,  29032.54,  10883.75
13822.1,  28062.54,  10892.81
12956.7,  28233.22,  10966.65
14317.0,  27849.23,  10829.97
12806.5,  28237.71,  10825.05
14222.0,  29779.82,  11081.29
14640.6,  29270.09,  10993.83
15075.7,  28076.05,  10608.67
14315.3,  30111.94,  11551.74
13869.4,  29503.36,  10576.91
15847.3,  27383.30,  10579.80
13105.7,  29322.05,  11212.47
14004.0,  28128.75,  10739.59
13106.1,  27654.36,  10665.68
14744.6,  29655.25,  10500.23
12930.2,  29815.58,  10811.11
13973.3,  28173.36,  10765.30
18321.1,  28636.41,  10939.27
13876.6,  29668.18,  10784.59
14148.1,  28609.67,  10969.37
15355.5,  28225.04,  11077.51
14357.6,  29431.36,  10555.36
12525.3,  28692.79,  10945.21
15353.2,  27828.80,  11131.30
16206.6,  27237.34,  10934.69
