internal,kcup,miniserve
35044.4,  28384.76,  10702.37
35060.2,  27983.23,  10884.88
36698.6,  28290.62,  10335.27
37570.5,  28364.58,  10796.44
35011.3,  27629.29,  10945.98
36585.3,  29939.79,  10559.50
35117.9,  28553.05,  10645.03
35868.1,  29512.05,  11264.94
34167.8,  28259.10,  11144.79
36074.9,  28776.00,  10697.01
35564.9,  26657.15,  11063.97
36948.3,  28558.53,  11012.82
37936.9,  27608.94,  10534.74
34253.3,  29224.28,  11350.25
34559.9,  25082.62,  10936.43
36616.0,  28110.56,  10820.00
36386.6,  27281.45,  10803.40
36464.0,  27324.34,  11030.68
36492.3,  28360.42,  10753.55
35059.1,  27874.94,  11331.01
35476.6,  27315.58,  11106.96
37087.1,  28398.12,  10546.94
35807.7,  27852.58,  11224.76
35780.5,  27799.85,  11109.31
36188.4,  28238.51,  10642.44
36724.1,  27074.17,  11306.61
35817.9,  27574.22,  10895.83
35757.0,  27125.71,  10669.26
36022.9,  27288.88,  11346.20
36211.7,  27035.97,  10721.33
36723.1,  27693.64,  10775.54
36694.0,  28337.49,  11113.51
37100.5,  26242.80,  10886.63
35960.1,  27678.19,  10768.73
37285.9,  28786.66,  10969.97
36756.6,  27928.74,  10984.61
35725.5,  26157.96,  10661.76
37582.1,  27239.92,  11234.71
36012.1,  27733.78,  10616.23
34743.2,  27259.63,  10593.29
36208.4,  26082.88,  10989.18
36823.7,  27072.98,  10939.08
36858.3,  27449.19,  10997.80
36448.5,  26883.83,  10839.12
36756.7,  27457.85,  10820.87
37316.4,  28737.82,  10554.75
35720.5,  28616.58,  10927.51
35825.3,  27288.21,  11226.54
36899.7,  27992.11,  10821.96
37404.6,  27930.31,  10887.44
37303.4,  27122.87,  10981.67
36219.4,  27324.86,  10626.75
36790.2,  26304.61,  10962.09
36643.0,  26705.45,  11126.89
36405.4,  26681.02,  10948.86
35796.5,  26507.62,  11114.81
36457.5,  27033.87,  11036.72
35726.1,  28211.15,  10916.12
35775.7,  28216.71,  11138.61
36398.8,  26946.05,  10863.53
36627.0,  28631.93,  10865.14
37578.1,  27964.44,  11153.02
35544.6,  26973.60,  10874.41
34994.5,  27131.18,  10662.65
35794.6,  27387.28,  10835.75
36446.0,  26492.90,  10728.09
36546.7,  27527.81,  10976.29
36198.1,  29372.17,  10958.10
36163.3,  28900.18,  10841.20
36530.0,  29208.88,  11227.23
36079.4,  28091.87,  10911.70
35596.5,  31072.78,  10942.53
35344.6,  29281.49,  10995.04
37352.7,  27874.42,  10828.43
35548.6,  29300.53,  10793.89
36718.3,  29032.54,  10883.75
36165.1,  28062.54,  10892.81
37969.9,  28233.22,  10966.65
35417.0,  27849.23,  10829.97
35890.0,  28237.71,  10825.05
34399.5,  29779.82,  11081.29
36374.3,  29270.09,  10993.83
37012.9,  28076.05,  10608.67
36273.0,  30111.94,  11551.74
35879.1,  29503.36,  10576.91
35630.2,  27383.30,  10579.80
32932.5,  29322.05,  11212.47
35960.2,  28128.75,  10739.59
37169.6,  27654.36,  10665.68
36777.3,  29655.25,  10500.23
36556.2,  29815.58,  10811.11
36635.8,  28173.36,  10765.30
35989.4,  28636.41,  10939.27
36557.1,  29668.18,  10784.59
36036.9,  28609.67,  10969.37
36447.2,  28225.04,  11077.51
36237.9,  29431.36,  10555.36
35395.8,  28692.79,  10945.21
35145.0,  27828.80,  11131.30
35702.5,  27237.34,  10934.69
