String,Bytes,Revert
10343.1,13972.8,10527.4
10359.2,10617.1,8994.0
10366.5,13964.0,16614.0
10367.4,9860.4,8788.2
10389.4,13026.5,13949.4
10804.2,11365.7,9085.8
10916.1,10611.4,15187.6
10969.6,16170.8,8462.5
10996.5,8770.4,13580.6
11037.3,16906.0,8833.7
11082.1,9186.7,12623.3
11084.3,14564.2,14899.5
11095.0,8698.5,10198.9
11157.0,15124.3,15559.8
11219.8,11494.8,10275.6
11227.6,11763.0,16465.9
11352.6,15157.6,14822.1
11384.8,8812.4,12669.1
11398.1,15379.8,8252.6
11408.8,9418.0,2806.4
11456.1,15695.3,29854.0
11478.6,15894.9,37213.3
11573.9,9414.3,35810.1
11596.5,16422.6,76.0
11695.3,8011.5,14842.9
11834.3,14523.8,10653.3
11894.8,7071.7,16521.6
12040.7,7455.8,14266.1
12070.9,7887.3,6352.0
12365.9,6768.0,10715.6
12413.6,10397.9,12416.9
12488.3,8414.3,15364.9
12544.0,8502.3,9044.5
12633.1,12305.2,16096.6
12676.5,5650.9,10076.9
12679.7,13268.6,16646.3
12723.3,8642.1,11708.6
12798.9,14734.8,9778.8
12914.4,8442.7,14119.2
12980.4,13974.9,8374.3
13026.1,8567.9,17365.4
13055.8,14141.2,9544.5
13245.8,9544.5,14704.3
13281.7,14334.8,10430.0
13308.3,10144.4,13010.0
13310.5,13269.0,14089.1
13453.6,15486.5,9269.2
13519.2,7582.4,17597.9
13841.0,9106.5,6742.2
13901.7,8720.0,13401.1
13906.8,6826.5,9768.2
14033.8,11163.2,16956.3
14278.2,8727.5,9694.6
14301.9,13684.7,15469.3
14317.7,7897.4,15733.8
14337.2,6483.7,8862.2
14375.7,8471.0,14038.1
14377.8,7273.9,9953.6
14511.3,10423.6,14872.7
14533.3,9137.9,9440.2
14827.5,10698.0,15612.7
15241.3,7194.1,15416.5
15288.7,8433.4,7886.8
15497.8,4299.6,16262.6
15550.5,5070.0,9059.0
15668.9,10028.3,15832.6
15709.0,9584.2,9113.5
15826.1,8503.3,14035.1
16057.0,15182.5,11132.4
4114.4,7713.0,12716.8
5765.4,12586.5,15164.0
6204.4,10629.9,10005.5
6492.2,11331.7,14486.5
6567.6,9932.1,9414.2
6648.8,12261.7,15342.2
7387.1,14825.3,11838.1
7631.3,9362.0,11228.8
8030.3,13328.8,14401.3
8406.7,9061.4,8821.4
8475.4,15499.9,15728.3
8509.7,8622.9,8670.9
8585.5,13411.7,14090.4
8612.9,10784.9,8189.6
8785.0,11492.3,15402.6
9045.7,11480.9,9350.1
9200.4,9376.3,11710.9
9261.8,14043.1,15933.1
9271.7,8975.9,10313.7
9339.1,14008.7,15562.9
9366.6,8597.2,9073.4
9367.9,14823.3,12785.3
9373.5,8503.4,9555.8
9412.2,14519.1,13645.4
9451.8,8030.1,15375.4
9485.5,11283.9,9718.7
9792.5,9164.2,16614.8
9798.0,14980.8,7669.5
9877.5,7032.6,16293.0
9908.2,10239.0,10571.0
9958.4,8056.9,13813.1
